track_name,album_name
...Ready For It? - Commentary,reputation (Big Machine Radio Release Special)
...Ready For It?,reputation (Big Machine Radio Release Special)
End Game - Commentary,reputation (Big Machine Radio Release Special)
End Game,reputation (Big Machine Radio Release Special)
I Did Something Bad - Commentary,reputation (Big Machine Radio Release Special)
I Did Something Bad,reputation (Big Machine Radio Release Special)
Don't Blame Me - Commentary,reputation (Big Machine Radio Release Special)
Don't Blame Me,reputation (Big Machine Radio Release Special)
Delicate - Commentary,reputation (Big Machine Radio Release Special)
Delicate,reputation (Big Machine Radio Release Special)
Look What You Made Me Do - Commentary,reputation (Big Machine Radio Release Special)
Look What You Made Me Do,reputation (Big Machine Radio Release Special)
So It Goes...A278 - Commentary,reputation (Big Machine Radio Release Special)
So It Goes...,reputation (Big Machine Radio Release Special)
Gorgeous - Commentary,reputation (Big Machine Radio Release Special)
Gorgeous,reputation (Big Machine Radio Release Special)
Getaway Car - Commentary,reputation (Big Machine Radio Release Special)
Getaway Car,reputation (Big Machine Radio Release Special)
King Of My Heart - Commentary,reputation (Big Machine Radio Release Special)
King Of My Heart,reputation (Big Machine Radio Release Special)
Dancing With Our Hands Tied - Commentary,reputation (Big Machine Radio Release Special)
Dancing With Our Hands Tied,reputation (Big Machine Radio Release Special)
Dress - Commentary,reputation (Big Machine Radio Release Special)
Dress,reputation (Big Machine Radio Release Special)
This Is Why We Can't Have Nice Things - Commentary,reputation (Big Machine Radio Release Special)
This Is Why We Can't Have Nice Things,reputation (Big Machine Radio Release Special)
Call It What You Want - Commentary,reputation (Big Machine Radio Release Special)
Call It What You Want,reputation (Big Machine Radio Release Special)
New Year's Day - Commentary,reputation (Big Machine Radio Release Special)
New Year's Day,reputation (Big Machine Radio Release Special)
Radio Outro - Commentary,reputation (Big Machine Radio Release Special)
All Too Well,reputation Stadium Tour Surprise Song Playlist
Wildest Dreams,reputation Stadium Tour Surprise Song Playlist
The Best Day,reputation Stadium Tour Surprise Song Playlist
Red,reputation Stadium Tour Surprise Song Playlist
Holy Ground,reputation Stadium Tour Surprise Song Playlist
Teardrops On My Guitar - Radio Single Remix,reputation Stadium Tour Surprise Song Playlist
Our Song,reputation Stadium Tour Surprise Song Playlist
22,reputation Stadium Tour Surprise Song Playlist
I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist
I Don'+A876t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist
Mean,reputation Stadium Tour Surprise Song Playlist
How You Get The Girl,reputation Stadium Tour Surprise Song Playlist
So It Goes...,reputation Stadium Tour Surprise Song Playlist
Fifteen,reputation Stadium Tour Surprise Song Playlist
Mine,reputation Stadium Tour Surprise Song Playlist
Sparks Fly,reputation Stadium Tour Surprise Song Playlist
State Of Grace,reputation Stadium Tour Surprise Song Playlist
Haunted,reputation Stadium Tour Surprise Song Playlist
Never Grow Up,reputation Stadium Tour Surprise Song Playlist
Treacherous,reputation Stadium Tour Surprise Song Playlist
Babe,reputation Stadium Tour Surprise Song Playlist
Welcome To New York,reputation Stadium Tour Surprise Song Playlist
Fearless,reputation Stadium Tour Surprise Song Playlist
Enchanted,reputation Stadium Tour Surprise Song Playlist
Change,reputation Stadium Tour Surprise Song Playlist
Ours,reputation Stadium Tour Surprise Song Playlist
Out Of The Woods,reputation Stadium Tour Surprise Song Playlist
Come Back...Be Here,reputation Stadium Tour Surprise Song Playlist
A Place in this World,reputation Stadium Tour Surprise Song Playlist
This Love,reputation Stadium Tour Surprise Song Playlist
The Lucky One,reputation Stadium Tour Surprise Song Playlist
Invisible,reputation Stadium Tour Surprise Song Playlist
Breathe,reputation Stadium Tour Surprise Song Playlist
Better Man,reputation Stadium Tour Surprise Song Playlist
Jump Then Fall,reputation Stadium Tour Surprise Song Playlist
Begin Again,reputation Stadium Tour Surprise Song Playlist
Tied Together with a Smile,reputation Stadium Tour Surprise Song Playlist
The Story Of Us,reputation Stadium Tour Surprise Song Playlist
Forever & Always,reputation Stadium Tour Surprise Song Playlist
Hey Stephen,reputation Stadium Tour Surprise Song Playlist
Speak Now,reputation Stadium Tour Surprise Song Playlist
Wonderland,reputation Stadium Tour Surprise Song Playlist
White Horse,reputation Stadium Tour Surprise Song Playlist
I'm Only Me When I'm With You,reputation Stadium Tour Surprise Song Playlist
Starlight,reputation Stadium Tour Surprise Song Playlist
I Know Places,reputation Stadium Tour Surprise Song Playlist
Welcome To New York - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Blank Space - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Style - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Out Of The Woods - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
All You Had To Do Was Stay - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Shake It Off - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
I Wish You Would - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Bad Blood - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Wildest Dreams - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
How You Get The Girl - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
This Love - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
I Know Places - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Clean - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Wonderland - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
You Are In Love - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
New Romantics - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe)
Welcome To New York,1989
Blank Space,1989
Style,1989
Out Of The Woods,1989
All You Had To Do Was Stay,1989
Shake It Off,1989
I Wish You Would,1989
Bad Blood,1989
Wildest Dreams,1989
How You Get The Girl,1989
This Love,1989
I Know Places,1989
Clean,1989
Welcome to New York - Commentary,1989 (Big Machine Radio Release Special)
Welcome To New York,1989 (Big Machine Radio Release Special)
Blank Space - Commentary,1989 (Big Machine Radio Release Special)
Blank Space,1989 (Big Machine Radio Release Special)
Style - Commentary,1989 (Big Machine Radio Release Special)
Style,1989 (Big Machine Radio Release Special)
Out Of The Woods - Commentary,1989 (Big Machine Radio Release Special)
Out Of The Woods,1989 (Big Machine Radio Release Special)
All You Had To Do Was Stay - Commentary,1989 (Big Machine Radio Release Special)
All You Had To Do Was Stay,1989 (Big Machine Radio Release Special)
Shake It Off - Commentary,1989 (Big Machine Radio Release Special)
Shake It Off,1989 (Big Machine Radio Release Special)
I Wish You Would - Commentary,1989 (Big Machine Radio Release Special)
I Wish You Would,1989 (Big Machine Radio Release Special)
Bad Blood - Commentary,1989 (Big Machine Radio Release Special)
Bad Blood,1989 (Big Machine Radio Release Special)
Wildest Dreams - Commentary,1989 (Big Machine Radio Release Special)
Wildest Dreams,1989 (Big Machine Radio Release Special)
How You Get The Girl - Commentary,1989 (Big Machine Radio Release Special)
How You Get The Girl,1989 (Big Machine Radio Release Special)
This Love - Commentary,1989 (Big Machine Radio Release Special)
This Love,1989 (Big Machine Radio Release Special)
I Know Places - Commentary,1989 (Big Machine Radio Release Special)
I Know Places,1989 (Big Machine Radio Release Special)
Clean - Commentary,1989 (Big Machine Radio Release Special)
Clean,1989 (Big Machine Radio Release Special)
Welcome To New York - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Blank Space - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Style - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Out Of The Woods - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
All You Had To Do Was Stay - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Shake It Off - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
I Wish You Would - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Bad Blood - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Wildest Dreams - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
How You Get The Girl - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
This Love - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
I Know Places - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Clean - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Wonderland - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
You Are In Love - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
New Romantics - Karaoke Version,Taylor Swift Karaoke: 1989 (Deluxe Edition)
Welcome To New York - Karaoke Version,Taylor Swift Karaoke: 1989
Blank Space - Karaoke Version,Taylor Swift Karaoke: 1989
Style - Karaoke Version,Taylor Swift Karaoke: 1989
Out Of The Woods - Karaoke Version,Taylor Swift Karaoke: 1989
All You Had To Do Was Stay - Karaoke Version,Taylor Swift Karaoke: 1989
Shake It Off - Karaoke Version,Taylor Swift Karaoke: 1989
I Wish You Would - Karaoke Version,Taylor Swift Karaoke: 1989
Bad Blood - Karaoke Version,Taylor Swift Karaoke: 1989
Wildest Dreams - Karaoke Version,Taylor Swift Karaoke: 1989
How You Get The Girl - Karaoke Version,Taylor Swift Karaoke: 1989
This Love - Karaoke Version,Taylor Swift Karaoke: 1989
I Know Places - Karaoke Version,Taylor Swift Karaoke: 1989
Clean - Karaoke Version,Taylor Swift Karaoke: 1989
Welcome To New York,1989 (Deluxe)
Blank Space,1989 (Deluxe)
Style,1989 (Deluxe)
Out Of The Woods,1989 (Deluxe)
All You Had To Do Was Stay,1989 (Deluxe)
Shake It Off,1989 (Deluxe)
I Wish You Would,1989 (Deluxe)
Bad Blood,1989 (Deluxe)
Wildest Dreams,1989 (Deluxe)
How You Get The Girl,1989 (Deluxe)
This Love,1989 (Deluxe)
I Know Places,1989 (Deluxe)
Clean,1989 (Deluxe)
Wonderland,1989 (Deluxe)
You Are In Love,1989 (Deluxe)
New Romantics,1989 (Deluxe)
I Know Places - Voice Memo,1989 (Deluxe)
I Wish You Would - Voice Memo,1989 (Deluxe)
Blank Space - Voice Memo,1989 (Deluxe)
Welcome To New York,1989 (Deluxe Edition)
Blank Space,1989 (Deluxe Edition)
Style,1989 (Deluxe Edition)
Out Of The Woods,1989 (Deluxe Edition)
All You Had To Do Was Stay,1989 (Deluxe Edition)
Shake It Off,1989 (Deluxe Edition)
I Wish You Would,1989 (Deluxe Edition)
Bad Blood,1989 (Deluxe Edition)
Wildest Dreams,1989 (Deluxe Edition)
How You Get The Girl,1989 (Deluxe Edition)
This Love,1989 (Deluxe Edition)
I Know Places,1989 (Deluxe Edition)
Clean,1989 (Deluxe Edition)
Wonderland,1989 (Deluxe Edition)
You Are In Love,1989 (Deluxe Edition)
New Romantics,1989 (Deluxe Edition)
I Know Places - Voice Memo,1989 (Deluxe Edition)
I Wish You Would - Voice Memo,1989 (Deluxe Edition)
Blank Space - Voice Memo,1989 (Deluxe Edition)
State Of Grace,Red
Red,Red
Treacherous,Red
I Knew You Were Trouble.,Red
All Too Well,Red
22,Red
I Almost Do,Red
We Are Never Ever Getting Back Together,Red
Stay Stay Stay,Red
The Last Time,Red
Holy Ground,Red
Sad Beautiful Tragic,Red
The Lucky One,Red
Everything Has Changed,Red
Starlight,Red
Begin Again,Red
State Of Grace,Red (Deluxe Edition)
Red,Red (Deluxe Edition)
Treacherous,Red (Deluxe Edition)
I Knew You Were Trouble.,Red (Deluxe Edition)
All Too Well,Red (Deluxe Edition)
22,Red (Deluxe Edition)
I Almost Do,Red (Deluxe Edition)
We Are Never Ever Getting Back Together,Red (Deluxe Edition)
Stay Stay Stay,Red (Deluxe Edition)
The Last Time,Red (Deluxe Edition)
Holy Ground,Red (Deluxe Edition)
Sad Beautiful Tragic,Red (Deluxe Edition)
The Lucky One,Red (Deluxe Edition)
Everything Has Changed,Red (Deluxe Edition)
Starlight,Red (Deluxe Edition)
Begin Again,Red (Deluxe Edition)
The Moment I Knew,Red (Deluxe Edition)
Come Back...Be Here,Red (Deluxe Edition)
Girl At Home,Red (Deluxe Edition)
Treacherous - Original Demo Recording,Red (Deluxe Edition)
Red - Original Demo Recording,Red (Deluxe Edition)
State Of Grace - Acoustic,Red (Deluxe Edition)
State Of Grace - Commentary,Red (Big Machine Radio Release Special)
State Of Grace,Red (Big Machine Radio Release Special)
Red - Commentary,Red (Big Machine Radio Release Special)
Red,Red (Big Machine Radio Release Special)
Treacherous - Commentary,Red (Big Machine Radio Release Special)
Treacherous,Red (Big Machine Radio Release Special)
I Knew You Were Trouble. - Commentary,Red (Big Machine Radio Release Special)
I Knew You Were Trouble.,Red (Big Machine Radio Release Special)
All Too Well - Commentary,Red (Big Machine Radio Release Special)
All Too Well,Red (Big Machine Radio Release Special)
22 - Commentary,Red (Big Machine Radio Release Special)
22,Red (Big Machine Radio Release Special)
I Almost Do - Commentary,Red (Big Machine Radio Release Special)
I Almost Do,Red (Big Machine Radio Release Special)
We Are Never Ever Getting Back Together - Commentary,Red (Big Machine Radio Release Special)
We Are Never Ever Getting Back Together,Red (Big Machine Radio Release Special)
Stay Stay Stay - Commentary,Red (Big Machine Radio Release Special)
Stay Stay Stay,Red (Big Machine Radio Release Special)
The Last Time - Commentary,Red (Big Machine Radio Release Special)
The Last Time,Red (Big Machine Radio Release Special)
Holy Ground - Commentary,Red (Big Machine Radio Release Special)
Holy Ground,Red (Big Machine Radio Release Special)
Sad Beautiful Tragic - Commentary,Red (Big Machine Radio Release Special)
Sad Beautiful Tragic,Red (Big Machine Radio Release Special)
The Lucky One - Commentary,Red (Big Machine Radio Release Special)
The Lucky One,Red (Big Machine Radio Release Special)
Everything Has Changed - Commentary,Red (Big Machine Radio Release Special)
Everything Has Changed,Red (Big Machine Radio Release Special)
Starlight - Commentary,Red (Big Machine Radio Release Special)
Starlight,Red (Big Machine Radio Release Special)
Begin Again - Commentary,Red (Big Machine Radio Release Special)
Begin Again,Red (Big Machine Radio Release Special)
State Of Grace - Karaoke Version,Red (Karaoke Version)
Red - Karaoke Version,Red (Karaoke Version)
Treacherous - Karaoke Version,Red (Karaoke Version)
I Knew You Were Trouble. - Karaoke Version,Red (Karaoke Version)
All Too Well - Karaoke Version,Red (Karaoke Version)
22 - Karaoke Version,Red (Karaoke Version)
